cow_L,cow_R,question_num,HIT,Worker_id,response,id
7128,4035,8,0,A31Z5TPD8QKE26,1,0-8
7128,4035,8,0,A3OZ8KF0HWSVWK,1,0-8
7128,4035,8,0,A1IOMFFEKCWOIT,3,0-8
7128,4035,8,0,A3L3ZFL1NYFTCF,3,0-8
7128,4035,8,0,AZNIEFUIVB2H0,2,0-8
7128,4035,8,0,ASEMC3G1PJ6SB,1,0-8
7128,4035,8,0,A14PFRHG0A2YY9,2,0-8
7128,4035,8,0,A3GXSHLBND9E92,3,0-8
7064,4008,1,1,A3UUH3632AI3ZX,0,1-1
7064,4008,1,1,A1XO6ONCCTBMKW,2,1-1
7064,4008,1,1,A353KETOEN0W8T,2,1-1
7064,4008,1,1,AORHXBTOCXFUK,2,1-1
7064,4008,1,1,A1IOMFFEKCWOIT,-3,1-1
7064,4008,1,1,A28A3HF3LSEIDT,1,1-1
7064,4008,1,1,A3GXSHLBND9E92,-1,1-1
7064,4008,1,1,AAWX7QFQUNM6D,-2,1-1
7064,4008,1,1,A31Z5TPD8QKE26,0,1-1
7064,4008,1,1,A2J237J8KM3OCS,-1,1-1
7064,4008,1,1,A14PFRHG0A2YY9,0,1-1
7064,4008,1,1,AZNIEFUIVB2H0,-1,1-1
7064,4008,1,1,A2YHSU2IJZ9J14,2,1-1
7064,4008,1,1,A2R0YYUAWNT7UD,-1,1-1
5064,4035,2,1,A3L3ZFL1NYFTCF,3,1-2
5064,4035,2,1,A3UUH3632AI3ZX,-2,1-2
5064,4035,2,1,A1IOMFFEKCWOIT,3,1-2
5064,4035,2,1,A31Z5TPD8QKE26,1,1-2
5064,4035,2,1,A2R0YYUAWNT7UD,1,1-2
5064,4035,2,1,A2YHSU2IJZ9J14,3,1-2
5064,4035,2,1,AISFU4P55HYEH,-1,1-2
5064,4035,2,1,A13XXMDHOULEZ7,1,1-2
5064,4035,2,1,AAWX7QFQUNM6D,2,1-2
5064,4035,2,1,AORHXBTOCXFUK,-2,1-2
5064,4035,2,1,A1IU5OP7BBZHZ7,3,1-2
5064,4035,2,1,AZNIEFUIVB2H0,-1,1-2
5064,4035,2,1,A1XO6ONCCTBMKW,2,1-2
5064,4035,2,1,A2J237J8KM3OCS,0,1-2
6053,7163,3,1,A2J237J8KM3OCS,1,1-3
6053,7163,3,1,A1IU5OP7BBZHZ7,-1,1-3
6053,7163,3,1,AORHXBTOCXFUK,2,1-3
6053,7163,3,1,A2FCGEU5RTEWG8,2,1-3
6053,7163,3,1,A353KETOEN0W8T,2,1-3
6053,7163,3,1,A2R0YYUAWNT7UD,-1,1-3
6053,7163,3,1,AAWX7QFQUNM6D,1,1-3
6053,7163,3,1,A28A3HF3LSEIDT,1,1-3
6053,7163,3,1,A1XO6ONCCTBMKW,0,1-3
6053,7163,3,1,A2YHSU2IJZ9J14,3,1-3
6053,7163,3,1,A1IOMFFEKCWOIT,3,1-3
6053,7163,3,1,A3L3ZFL1NYFTCF,2,1-3
6053,7163,3,1,AISFU4P55HYEH,2,1-3
6053,7163,3,1,AM0JKZVOEOTMA,-3,1-3
6068,6086,4,1,A14PFRHG0A2YY9,1,1-4
6068,6086,4,1,A2YHSU2IJZ9J14,1,1-4
6068,6086,4,1,A3UUH3632AI3ZX,0,1-4
6068,6086,4,1,A2R0YYUAWNT7UD,-1,1-4
6068,6086,4,1,A3L3ZFL1NYFTCF,3,1-4
6068,6086,4,1,A1IOMFFEKCWOIT,2,1-4
6068,6086,4,1,A1XO6ONCCTBMKW,2,1-4
6068,6086,4,1,AAWX7QFQUNM6D,-1,1-4
6068,6086,4,1,A353KETOEN0W8T,2,1-4
6068,6086,4,1,A3GXSHLBND9E92,0,1-4
6068,6086,4,1,A31Z5TPD8QKE26,1,1-4
6068,6086,4,1,AORHXBTOCXFUK,2,1-4
6068,6086,4,1,A2FCGEU5RTEWG8,1,1-4
6068,6086,4,1,AZNIEFUIVB2H0,-1,1-4
6046,4035,5,1,A3L3ZFL1NYFTCF,3,1-5
6046,4035,5,1,A2J237J8KM3OCS,2,1-5
6046,4035,5,1,A2FCGEU5RTEWG8,2,1-5
6046,4035,5,1,AISFU4P55HYEH,1,1-5
6046,4035,5,1,A28A3HF3LSEIDT,2,1-5
6046,4035,5,1,A3GXSHLBND9E92,2,1-5
6046,4035,5,1,A1XO6ONCCTBMKW,3,1-5
6046,4035,5,1,AM0JKZVOEOTMA,3,1-5
6046,4035,5,1,A2R0YYUAWNT7UD,2,1-5
6046,4035,5,1,A3UUH3632AI3ZX,1,1-5
6046,4035,5,1,A353KETOEN0W8T,3,1-5
6046,4035,5,1,AORHXBTOCXFUK,3,1-5
6046,4035,5,1,A14PFRHG0A2YY9,2,1-5
6046,4035,5,1,A2YHSU2IJZ9J14,3,1-5
7136,7114,6,1,AORHXBTOCXFUK,-1,1-6
7136,7114,6,1,A2YHSU2IJZ9J14,2,1-6
7136,7114,6,1,A13XXMDHOULEZ7,0,1-6
7136,7114,6,1,A14PFRHG0A2YY9,-2,1-6
7136,7114,6,1,A2R0YYUAWNT7UD,-1,1-6
7136,7114,6,1,A31Z5TPD8QKE26,-3,1-6
7136,7114,6,1,A3GXSHLBND9E92,-1,1-6
7136,7114,6,1,AAWX7QFQUNM6D,-1,1-6
7136,7114,6,1,A2J237J8KM3OCS,-2,1-6
7136,7114,6,1,A3UUH3632AI3ZX,-1,1-6
7136,7114,6,1,AZNIEFUIVB2H0,-1,1-6
7136,7114,6,1,AISFU4P55HYEH,1,1-6
7136,7114,6,1,A3L3ZFL1NYFTCF,2,1-6
7136,7114,6,1,A1IU5OP7BBZHZ7,-1,1-6
7128,6025,8,1,AORHXBTOCXFUK,-2,1-8
7128,6025,8,1,A14PFRHG0A2YY9,0,1-8
7128,6025,8,1,A31Z5TPD8QKE26,-1,1-8
7128,6025,8,1,AZNIEFUIVB2H0,-1,1-8
7128,6025,8,1,A2YHSU2IJZ9J14,-2,1-8
7128,6025,8,1,A13XXMDHOULEZ7,0,1-8
7128,6025,8,1,A2R0YYUAWNT7UD,-1,1-8
7128,6025,8,1,A3UUH3632AI3ZX,-1,1-8
7128,6025,8,1,A2J237J8KM3OCS,-1,1-8
7128,6025,8,1,AM0JKZVOEOTMA,-1,1-8
7128,6025,8,1,A1IOMFFEKCWOIT,-2,1-8
7128,6025,8,1,A28A3HF3LSEIDT,-1,1-8
7128,6025,8,1,A3GXSHLBND9E92,0,1-8
7128,6025,8,1,A2FCGEU5RTEWG8,0,1-8
7045,4026,9,1,AORHXBTOCXFUK,2,1-9
7045,4026,9,1,A3UUH3632AI3ZX,0,1-9
7045,4026,9,1,A3L3ZFL1NYFTCF,2,1-9
7045,4026,9,1,AM0JKZVOEOTMA,3,1-9
7045,4026,9,1,A1IOMFFEKCWOIT,0,1-9
7045,4026,9,1,A13XXMDHOULEZ7,2,1-9
7045,4026,9,1,A353KETOEN0W8T,3,1-9
7045,4026,9,1,A28A3HF3LSEIDT,-1,1-9
7045,4026,9,1,A3GXSHLBND9E92,0,1-9
7045,4026,9,1,AISFU4P55HYEH,1,1-9
7045,4026,9,1,A2R0YYUAWNT7UD,-1,1-9
7045,4026,9,1,A2YHSU2IJZ9J14,3,1-9
7045,4026,9,1,A31Z5TPD8QKE26,2,1-9
7045,4026,9,1,A2J237J8KM3OCS,1,1-9
4035,7060,1,10,A28A3HF3LSEIDT,1,10-1
4035,7060,1,10,AZNIEFUIVB2H0,-2,10-1
4035,7060,1,10,A1XO6ONCCTBMKW,-3,10-1
4035,7060,1,10,A353KETOEN0W8T,-3,10-1
4035,7060,1,10,AISFU4P55HYEH,-1,10-1
4035,7060,1,10,AORHXBTOCXFUK,-2,10-1
4035,7060,1,10,A2R0YYUAWNT7UD,-1,10-1
4035,7060,1,10,A3GXSHLBND9E92,-3,10-1
4035,7060,1,10,A2FCGEU5RTEWG8,-2,10-1
4035,7060,1,10,A13XXMDHOULEZ7,-3,10-1
4035,7060,1,10,A1IU5OP7BBZHZ7,-3,10-1
4035,7060,1,10,A2J237J8KM3OCS,-2,10-1
4035,7060,1,10,A3UUH3632AI3ZX,-1,10-1
4035,7060,1,10,A31Z5TPD8QKE26,-2,10-1
6095,7128,10,10,A1XO6ONCCTBMKW,-2,10-10
6095,7128,10,10,AM0JKZVOEOTMA,-3,10-10
6095,7128,10,10,A3GXSHLBND9E92,-1,10-10
6095,7128,10,10,AORHXBTOCXFUK,3,10-10
6095,7128,10,10,A31Z5TPD8QKE26,-1,10-10
6095,7128,10,10,A2YHSU2IJZ9J14,1,10-10
6095,7128,10,10,A2R0YYUAWNT7UD,0,10-10
6095,7128,10,10,A3L3ZFL1NYFTCF,2,10-10
6095,7128,10,10,A14PFRHG0A2YY9,-1,10-10
6095,7128,10,10,A1IOMFFEKCWOIT,-3,10-10
6095,7128,10,10,A2FCGEU5RTEWG8,-1,10-10
6095,7128,10,10,AAWX7QFQUNM6D,-1,10-10
6095,7128,10,10,AISFU4P55HYEH,-1,10-10
6095,7128,10,10,AZNIEFUIVB2H0,-1,10-10
5087,7153,3,10,A13XXMDHOULEZ7,-2,10-3
5087,7153,3,10,A3GXSHLBND9E92,-2,10-3
5087,7153,3,10,A3L3ZFL1NYFTCF,-3,10-3
5087,7153,3,10,AISFU4P55HYEH,1,10-3
5087,7153,3,10,A1XO6ONCCTBMKW,-2,10-3
5087,7153,3,10,AM0JKZVOEOTMA,-3,10-3
5087,7153,3,10,A353KETOEN0W8T,-3,10-3
5087,7153,3,10,A1IOMFFEKCWOIT,-3,10-3
5087,7153,3,10,AZNIEFUIVB2H0,-2,10-3
5087,7153,3,10,A2FCGEU5RTEWG8,-3,10-3
5087,7153,3,10,A28A3HF3LSEIDT,-3,10-3
5087,7153,3,10,AAWX7QFQUNM6D,-3,10-3
5087,7153,3,10,A3UUH3632AI3ZX,-1,10-3
5087,7153,3,10,A14PFRHG0A2YY9,-3,10-3
7064,7116,4,10,A2R0YYUAWNT7UD,1,10-4
7064,7116,4,10,A13XXMDHOULEZ7,1,10-4
7064,7116,4,10,AM0JKZVOEOTMA,3,10-4
7064,7116,4,10,A14PFRHG0A2YY9,2,10-4
7064,7116,4,10,A3GXSHLBND9E92,1,10-4
7064,7116,4,10,AORHXBTOCXFUK,-1,10-4
7064,7116,4,10,A3L3ZFL1NYFTCF,2,10-4
7064,7116,4,10,A2FCGEU5RTEWG8,2,10-4
7064,7116,4,10,A3UUH3632AI3ZX,0,10-4
7064,7116,4,10,A28A3HF3LSEIDT,3,10-4
7064,7116,4,10,A353KETOEN0W8T,2,10-4
7064,7116,4,10,AISFU4P55HYEH,1,10-4
7064,7116,4,10,A2YHSU2IJZ9J14,2,10-4
7064,7116,4,10,A1IU5OP7BBZHZ7,1,10-4
6096,5064,5,10,AAWX7QFQUNM6D,1,10-5
6096,5064,5,10,A2R0YYUAWNT7UD,2,10-5
6096,5064,5,10,A1XO6ONCCTBMKW,2,10-5
6096,5064,5,10,A2YHSU2IJZ9J14,2,10-5
6096,5064,5,10,A1IU5OP7BBZHZ7,0,10-5
6096,5064,5,10,AM0JKZVOEOTMA,3,10-5
6096,5064,5,10,A2FCGEU5RTEWG8,1,10-5
6096,5064,5,10,A353KETOEN0W8T,-1,10-5
6096,5064,5,10,A31Z5TPD8QKE26,-1,10-5
6096,5064,5,10,A3GXSHLBND9E92,1,10-5
6096,5064,5,10,A13XXMDHOULEZ7,2,10-5
6096,5064,5,10,A3UUH3632AI3ZX,2,10-5
6096,5064,5,10,AISFU4P55HYEH,1,10-5
6096,5064,5,10,AZNIEFUIVB2H0,2,10-5
6046,4026,6,10,A353KETOEN0W8T,2,10-6
6046,4026,6,10,AAWX7QFQUNM6D,1,10-6
6046,4026,6,10,A2R0YYUAWNT7UD,0,10-6
6046,4026,6,10,AISFU4P55HYEH,0,10-6
6046,4026,6,10,A1IOMFFEKCWOIT,1,10-6
6046,4026,6,10,A1XO6ONCCTBMKW,2,10-6
6046,4026,6,10,AZNIEFUIVB2H0,1,10-6
6046,4026,6,10,A2YHSU2IJZ9J14,3,10-6
6046,4026,6,10,AORHXBTOCXFUK,2,10-6
6046,4026,6,10,A3UUH3632AI3ZX,0,10-6
6046,4026,6,10,A1IU5OP7BBZHZ7,1,10-6
6046,4026,6,10,A3GXSHLBND9E92,0,10-6
6046,4026,6,10,AM0JKZVOEOTMA,2,10-6
6046,4026,6,10,A13XXMDHOULEZ7,1,10-6
5064,7116,8,10,A14PFRHG0A2YY9,3,10-8
5064,7116,8,10,AM0JKZVOEOTMA,3,10-8
5064,7116,8,10,AAWX7QFQUNM6D,-1,10-8
5064,7116,8,10,A28A3HF3LSEIDT,2,10-8
5064,7116,8,10,A353KETOEN0W8T,2,10-8
5064,7116,8,10,AZNIEFUIVB2H0,2,10-8
5064,7116,8,10,A3L3ZFL1NYFTCF,2,10-8
5064,7116,8,10,A31Z5TPD8QKE26,1,10-8
5064,7116,8,10,A3GXSHLBND9E92,1,10-8
5064,7116,8,10,A1IOMFFEKCWOIT,3,10-8
5064,7116,8,10,A2FCGEU5RTEWG8,2,10-8
5064,7116,8,10,AORHXBTOCXFUK,-2,10-8
5064,7116,8,10,A2R0YYUAWNT7UD,1,10-8
5064,7116,8,10,A2J237J8KM3OCS,3,10-8
7045,4035,9,10,A28A3HF3LSEIDT,2,10-9
7045,4035,9,10,AZNIEFUIVB2H0,2,10-9
7045,4035,9,10,A353KETOEN0W8T,3,10-9
7045,4035,9,10,A2R0YYUAWNT7UD,0,10-9
7045,4035,9,10,A2J237J8KM3OCS,1,10-9
7045,4035,9,10,A31Z5TPD8QKE26,2,10-9
7045,4035,9,10,A3L3ZFL1NYFTCF,3,10-9
7045,4035,9,10,A1XO6ONCCTBMKW,3,10-9
7045,4035,9,10,AORHXBTOCXFUK,0,10-9
7045,4035,9,10,A1IU5OP7BBZHZ7,3,10-9
7045,4035,9,10,A3UUH3632AI3ZX,1,10-9
7045,4035,9,10,AAWX7QFQUNM6D,3,10-9
7045,4035,9,10,AM0JKZVOEOTMA,3,10-9
7045,4035,9,10,AISFU4P55HYEH,1,10-9
8083,5118,1,11,A3GXSHLBND9E92,-2,11-1
8083,5118,1,11,A2YHSU2IJZ9J14,-1,11-1
8083,5118,1,11,A3L3ZFL1NYFTCF,2,11-1
8083,5118,1,11,AISFU4P55HYEH,-1,11-1
8083,5118,1,11,AM0JKZVOEOTMA,-3,11-1
8083,5118,1,11,A1IOMFFEKCWOIT,-3,11-1
8083,5118,1,11,AAWX7QFQUNM6D,-1,11-1
8083,5118,1,11,A353KETOEN0W8T,2,11-1
8083,5118,1,11,A2J237J8KM3OCS,-2,11-1
8083,5118,1,11,A28A3HF3LSEIDT,-2,11-1
8083,5118,1,11,A3UUH3632AI3ZX,-1,11-1
8083,5118,1,11,A2FCGEU5RTEWG8,1,11-1
8083,5118,1,11,AZNIEFUIVB2H0,-1,11-1
8083,5118,1,11,AORHXBTOCXFUK,2,11-1
6086,7116,10,11,A1XO6ONCCTBMKW,2,11-10
6086,7116,10,11,AM0JKZVOEOTMA,-1,11-10
6086,7116,10,11,A31Z5TPD8QKE26,-2,11-10
6086,7116,10,11,A28A3HF3LSEIDT,1,11-10
6086,7116,10,11,A2YHSU2IJZ9J14,2,11-10
6086,7116,10,11,A2FCGEU5RTEWG8,1,11-10
6086,7116,10,11,A13XXMDHOULEZ7,2,11-10
6086,7116,10,11,A1IU5OP7BBZHZ7,3,11-10
6086,7116,10,11,AAWX7QFQUNM6D,3,11-10
6086,7116,10,11,A3UUH3632AI3ZX,2,11-10
6086,7116,10,11,A353KETOEN0W8T,-3,11-10
6086,7116,10,11,A2R0YYUAWNT7UD,2,11-10
6086,7116,10,11,A2J237J8KM3OCS,3,11-10
6086,7116,10,11,AORHXBTOCXFUK,3,11-10
6046,4008,2,11,A28A3HF3LSEIDT,1,11-2
6046,4008,2,11,A13XXMDHOULEZ7,2,11-2
6046,4008,2,11,AAWX7QFQUNM6D,2,11-2
6046,4008,2,11,A1XO6ONCCTBMKW,3,11-2
6046,4008,2,11,AORHXBTOCXFUK,2,11-2
6046,4008,2,11,A14PFRHG0A2YY9,2,11-2
6046,4008,2,11,A1IOMFFEKCWOIT,3,11-2
6046,4008,2,11,A353KETOEN0W8T,2,11-2
6046,4008,2,11,AZNIEFUIVB2H0,1,11-2
6046,4008,2,11,A2YHSU2IJZ9J14,2,11-2
6046,4008,2,11,AM0JKZVOEOTMA,3,11-2
6046,4008,2,11,A2FCGEU5RTEWG8,2,11-2
6046,4008,2,11,A31Z5TPD8QKE26,0,11-2
6046,4008,2,11,A3L3ZFL1NYFTCF,2,11-2
5087,7109,3,11,A2R0YYUAWNT7UD,-2,11-3
5087,7109,3,11,A1IOMFFEKCWOIT,-3,11-3
5087,7109,3,11,A2J237J8KM3OCS,-3,11-3
5087,7109,3,11,AISFU4P55HYEH,0,11-3
5087,7109,3,11,A1XO6ONCCTBMKW,-3,11-3
5087,7109,3,11,A2FCGEU5RTEWG8,-2,11-3
5087,7109,3,11,A353KETOEN0W8T,-3,11-3
5087,7109,3,11,A14PFRHG0A2YY9,-2,11-3
5087,7109,3,11,A13XXMDHOULEZ7,-1,11-3
5087,7109,3,11,AAWX7QFQUNM6D,-3,11-3
5087,7109,3,11,A3L3ZFL1NYFTCF,-3,11-3
5087,7109,3,11,AZNIEFUIVB2H0,-2,11-3
5087,7109,3,11,A31Z5TPD8QKE26,-3,11-3
5087,7109,3,11,A28A3HF3LSEIDT,-2,11-3
6068,7109,4,11,A3UUH3632AI3ZX,3,11-4
6068,7109,4,11,AISFU4P55HYEH,-1,11-4
6068,7109,4,11,A1XO6ONCCTBMKW,-2,11-4
6068,7109,4,11,A28A3HF3LSEIDT,-1,11-4
6068,7109,4,11,A13XXMDHOULEZ7,0,11-4
6068,7109,4,11,AM0JKZVOEOTMA,-3,11-4
6068,7109,4,11,AORHXBTOCXFUK,-1,11-4
6068,7109,4,11,A31Z5TPD8QKE26,-1,11-4
6068,7109,4,11,A14PFRHG0A2YY9,1,11-4
6068,7109,4,11,AAWX7QFQUNM6D,-2,11-4
6068,7109,4,11,A2R0YYUAWNT7UD,0,11-4
6068,7109,4,11,A2J237J8KM3OCS,-2,11-4
6068,7109,4,11,A1IU5OP7BBZHZ7,-2,11-4
6068,7109,4,11,A2FCGEU5RTEWG8,-2,11-4
7128,6053,5,11,A31Z5TPD8QKE26,-1,11-5
7128,6053,5,11,A1IOMFFEKCWOIT,2,11-5
7128,6053,5,11,A1IU5OP7BBZHZ7,1,11-5
7128,6053,5,11,A3L3ZFL1NYFTCF,-2,11-5
7128,6053,5,11,A353KETOEN0W8T,-2,11-5
7128,6053,5,11,A2J237J8KM3OCS,-2,11-5
7128,6053,5,11,A3GXSHLBND9E92,-1,11-5
7128,6053,5,11,AAWX7QFQUNM6D,0,11-5
7128,6053,5,11,A3UUH3632AI3ZX,0,11-5
7128,6053,5,11,A2YHSU2IJZ9J14,-2,11-5
7128,6053,5,11,AORHXBTOCXFUK,-2,11-5
7128,6053,5,11,A2R0YYUAWNT7UD,-1,11-5
7128,6053,5,11,A14PFRHG0A2YY9,1,11-5
7128,6053,5,11,AISFU4P55HYEH,0,11-5
7064,6094,8,11,A1XO6ONCCTBMKW,-3,11-8
7064,6094,8,11,A3UUH3632AI3ZX,-2,11-8
7064,6094,8,11,A3GXSHLBND9E92,-2,11-8
7064,6094,8,11,A2YHSU2IJZ9J14,-2,11-8
7064,6094,8,11,A31Z5TPD8QKE26,-2,11-8
7064,6094,8,11,AZNIEFUIVB2H0,-2,11-8
7064,6094,8,11,A3L3ZFL1NYFTCF,-1,11-8
7064,6094,8,11,AORHXBTOCXFUK,2,11-8
7064,6094,8,11,A2FCGEU5RTEWG8,-1,11-8
7064,6094,8,11,A14PFRHG0A2YY9,-1,11-8
7064,6094,8,11,A1IOMFFEKCWOIT,-2,11-8
7064,6094,8,11,A13XXMDHOULEZ7,-2,11-8
7064,6094,8,11,AAWX7QFQUNM6D,-1,11-8
7064,6094,8,11,A2R0YYUAWNT7UD,-3,11-8
6046,6029,9,11,A2YHSU2IJZ9J14,1,11-9
6046,6029,9,11,AORHXBTOCXFUK,2,11-9
6046,6029,9,11,A28A3HF3LSEIDT,0,11-9
6046,6029,9,11,A1IU5OP7BBZHZ7,0,11-9
6046,6029,9,11,A353KETOEN0W8T,0,11-9
6046,6029,9,11,A3L3ZFL1NYFTCF,0,11-9
6046,6029,9,11,A2R0YYUAWNT7UD,1,11-9
6046,6029,9,11,A1XO6ONCCTBMKW,2,11-9
6046,6029,9,11,A3UUH3632AI3ZX,0,11-9
6046,6029,9,11,A1IOMFFEKCWOIT,0,11-9
6046,6029,9,11,A2J237J8KM3OCS,0,11-9
6046,6029,9,11,A2FCGEU5RTEWG8,0,11-9
6046,6029,9,11,AISFU4P55HYEH,0,11-9
6046,6029,9,11,AM0JKZVOEOTMA,-2,11-9
5064,6025,1,12,AAWX7QFQUNM6D,-2,12-1
5064,6025,1,12,AISFU4P55HYEH,-1,12-1
5064,6025,1,12,A2FCGEU5RTEWG8,-1,12-1
5064,6025,1,12,A2J237J8KM3OCS,-3,12-1
5064,6025,1,12,A3L3ZFL1NYFTCF,1,12-1
5064,6025,1,12,AORHXBTOCXFUK,-2,12-1
5064,6025,1,12,A2YHSU2IJZ9J14,-3,12-1
5064,6025,1,12,A13XXMDHOULEZ7,-1,12-1
5064,6025,1,12,A14PFRHG0A2YY9,-1,12-1
5064,6025,1,12,A3UUH3632AI3ZX,-1,12-1
5064,6025,1,12,A28A3HF3LSEIDT,-1,12-1
5064,6025,1,12,A353KETOEN0W8T,1,12-1
5064,6025,1,12,A31Z5TPD8QKE26,1,12-1
5064,6025,1,12,A3GXSHLBND9E92,-2,12-1
7138,6096,10,12,AISFU4P55HYEH,0,12-10
7138,6096,10,12,A2R0YYUAWNT7UD,1,12-10
7138,6096,10,12,A1IU5OP7BBZHZ7,0,12-10
7138,6096,10,12,AZNIEFUIVB2H0,-1,12-10
7138,6096,10,12,A13XXMDHOULEZ7,0,12-10
7138,6096,10,12,A31Z5TPD8QKE26,-2,12-10
7138,6096,10,12,A2YHSU2IJZ9J14,1,12-10
7138,6096,10,12,A3GXSHLBND9E92,1,12-10
7138,6096,10,12,A2FCGEU5RTEWG8,1,12-10
7138,6096,10,12,A1XO6ONCCTBMKW,3,12-10
7138,6096,10,12,A3L3ZFL1NYFTCF,-2,12-10
7138,6096,10,12,AAWX7QFQUNM6D,0,12-10
7138,6096,10,12,A2J237J8KM3OCS,-1,12-10
7138,6096,10,12,AM0JKZVOEOTMA,0,12-10
5087,5064,2,12,A1IU5OP7BBZHZ7,-3,12-2
5087,5064,2,12,A2R0YYUAWNT7UD,1,12-2
5087,5064,2,12,A3GXSHLBND9E92,-1,12-2
5087,5064,2,12,A2YHSU2IJZ9J14,-2,12-2
5087,5064,2,12,AZNIEFUIVB2H0,1,12-2
5087,5064,2,12,A3L3ZFL1NYFTCF,-3,12-2
5087,5064,2,12,A353KETOEN0W8T,-3,12-2
5087,5064,2,12,A1XO6ONCCTBMKW,-3,12-2
5087,5064,2,12,A31Z5TPD8QKE26,-3,12-2
5087,5064,2,12,A3UUH3632AI3ZX,3,12-2
5087,5064,2,12,AM0JKZVOEOTMA,-3,12-2
5087,5064,2,12,AISFU4P55HYEH,1,12-2
5087,5064,2,12,A28A3HF3LSEIDT,0,12-2
5087,5064,2,12,A13XXMDHOULEZ7,-1,12-2
6094,6053,3,12,AORHXBTOCXFUK,-1,12-3
6094,6053,3,12,A353KETOEN0W8T,1,12-3
6094,6053,3,12,A2FCGEU5RTEWG8,-3,12-3
6094,6053,3,12,AISFU4P55HYEH,1,12-3
6094,6053,3,12,A3UUH3632AI3ZX,1,12-3
6094,6053,3,12,A3L3ZFL1NYFTCF,1,12-3
6094,6053,3,12,AZNIEFUIVB2H0,1,12-3
6094,6053,3,12,A14PFRHG0A2YY9,2,12-3
6094,6053,3,12,A1IU5OP7BBZHZ7,0,12-3
6094,6053,3,12,A2R0YYUAWNT7UD,1,12-3
6094,6053,3,12,A13XXMDHOULEZ7,1,12-3
6094,6053,3,12,A2J237J8KM3OCS,2,12-3
6094,6053,3,12,A28A3HF3LSEIDT,1,12-3
6094,6053,3,12,A1XO6ONCCTBMKW,2,12-3
6062,7136,4,12,A13XXMDHOULEZ7,0,12-4
6062,7136,4,12,A31Z5TPD8QKE26,0,12-4
6062,7136,4,12,A2YHSU2IJZ9J14,1,12-4
6062,7136,4,12,A3GXSHLBND9E92,0,12-4
6062,7136,4,12,A1IU5OP7BBZHZ7,0,12-4
6062,7136,4,12,A2R0YYUAWNT7UD,0,12-4
6062,7136,4,12,AZNIEFUIVB2H0,1,12-4
6062,7136,4,12,AM0JKZVOEOTMA,0,12-4
6062,7136,4,12,A1XO6ONCCTBMKW,-2,12-4
6062,7136,4,12,A2J237J8KM3OCS,-2,12-4
6062,7136,4,12,A14PFRHG0A2YY9,2,12-4
6062,7136,4,12,A3L3ZFL1NYFTCF,1,12-4
6062,7136,4,12,A353KETOEN0W8T,-1,12-4
6062,7136,4,12,A2FCGEU5RTEWG8,2,12-4
7109,7153,7,12,AISFU4P55HYEH,0,12-7
7109,7153,7,12,AZNIEFUIVB2H0,1,12-7
7109,7153,7,12,A1IU5OP7BBZHZ7,0,12-7
7109,7153,7,12,A3UUH3632AI3ZX,0,12-7
7109,7153,7,12,A353KETOEN0W8T,1,12-7
7109,7153,7,12,A2R0YYUAWNT7UD,0,12-7
7109,7153,7,12,A28A3HF3LSEIDT,1,12-7
7109,7153,7,12,A31Z5TPD8QKE26,1,12-7
