Cow,date,question_num,HIT,Worker_id,GS_round,GS
6029,5/13/21,6,0,DW,3,2
6029,5/13/21,6,0,HE,2,2
6029,5/13/21,6,0,AS,2,2
6029,5/13/21,6,0,RD,2,3
6029,5/13/21,6,0,SB,1,1
6029,5/13/21,6,0,RD,3,2
6029,5/13/21,6,0,HE,3,2
7064,6/4/21,7,0,DW,1,2
7064,6/4/21,7,0,DW,2,2
7064,6/4/21,7,0,RD,1,2
7064,6/4/21,7,0,AS,1,3
7064,6/4/21,7,0,HE,1,2
7064,6/4/21,7,0,DW,3,2
7064,6/4/21,7,0,HE,2,2
7064,6/4/21,7,0,AS,2,3
7064,6/4/21,7,0,RD,2,3
7064,6/4/21,7,0,SB,1,1
7064,6/4/21,7,0,RD,3,2
7064,6/4/21,7,0,HE,3,2
6095,5/28/21,8,0,DW,1,3
6095,5/28/21,8,0,DW,2,3
6095,5/28/21,8,0,RD,1,3
6095,5/28/21,8,0,AS,1,3
6095,5/28/21,8,0,HE,1,3
6095,5/28/21,8,0,DW,3,3
6095,5/28/21,8,0,HE,2,2
6095,5/28/21,8,0,AS,2,3
6095,5/28/21,8,0,RD,2,2
6095,5/28/21,8,0,SB,1,2
6095,5/28/21,8,0,RD,3,3
6095,5/28/21,8,0,HE,3,2
6086,6/11/21,9,0,DW,1,3
6086,6/11/21,9,0,DW,2,2
6086,6/11/21,9,0,RD,1,3
6086,6/11/21,9,0,AS,1,3
6086,6/11/21,9,0,HE,1,4
6086,6/11/21,9,0,DW,3,2
6086,6/11/21,9,0,HE,2,4
6086,6/11/21,9,0,AS,2,3
6086,6/11/21,9,0,RD,2,3
6086,6/11/21,9,0,SB,1,3
6086,6/11/21,9,0,RD,3,3
6086,6/11/21,9,0,HE,3,4
6062,6/11/21,10,0,DW,1,3
6062,6/11/21,10,0,DW,2,3
6062,6/11/21,10,0,RD,1,3
6062,6/11/21,10,0,AS,1,2
6062,6/11/21,10,0,HE,1,3
6062,6/11/21,10,0,DW,3,2
6062,6/11/21,10,0,HE,2,3
6062,6/11/21,10,0,AS,2,2
6062,6/11/21,10,0,RD,2,3
6062,6/11/21,10,0,SB,1,2
6062,6/11/21,10,0,RD,3,3
6062,6/11/21,10,0,HE,3,2
6096,4/30/21,11,0,DW,1,2
6096,4/30/21,11,0,DW,2,2
6096,4/30/21,11,0,RD,1,2
6096,4/30/21,11,0,AS,1,3
6096,4/30/21,11,0,HE,1,2
6096,4/30/21,11,0,DW,3,2
6096,4/30/21,11,0,HE,2,2
6096,4/30/21,11,0,AS,2,3
6096,4/30/21,11,0,RD,2,3
6096,4/30/21,11,0,SB,1,2
6096,4/30/21,11,0,RD,3,2
6096,4/30/21,11,0,HE,3,2
5064,6/11/21,12,0,DW,1,2
5064,6/11/21,12,0,DW,2,2
5064,6/11/21,12,0,RD,1,2
5064,6/11/21,12,0,AS,1,2
5064,6/11/21,12,0,HE,1,2
5064,6/11/21,12,0,DW,3,2
5064,6/11/21,12,0,HE,2,3
5064,6/11/21,12,0,AS,2,2
5064,6/11/21,12,0,RD,2,2
5064,6/11/21,12,0,SB,1,1
5064,6/11/21,12,0,RD,3,2
5064,6/11/21,12,0,HE,3,3
7116,6/4/21,13,0,DW,1,3
7116,6/4/21,13,0,DW,2,3
7116,6/4/21,13,0,RD,1,3
7116,6/4/21,13,0,AS,1,2
7116,6/4/21,13,0,HE,1,3
7116,6/4/21,13,0,DW,3,4
7116,6/4/21,13,0,HE,2,2
7116,6/4/21,13,0,AS,2,2
7116,6/4/21,13,0,RD,2,3
7116,6/4/21,13,0,SB,1,3
7116,6/4/21,13,0,RD,3,3
7116,6/4/21,13,0,HE,3,2
7136,6/11/21,14,0,DW,1,2
7136,6/11/21,14,0,DW,2,3
7136,6/11/21,14,0,RD,1,3
7136,6/11/21,14,0,AS,1,2
7136,6/11/21,14,0,HE,1,2
7136,6/11/21,14,0,DW,3,2
7136,6/11/21,14,0,HE,2,2
7136,6/11/21,14,0,AS,2,2
7136,6/11/21,14,0,RD,2,2
7136,6/11/21,14,0,SB,1,1
7136,6/11/21,14,0,RD,3,2
7136,6/11/21,14,0,HE,3,2
7128,4/1/21,15,0,DW,1,2
7128,4/1/21,15,0,DW,2,2
7128,4/1/21,15,0,RD,1,3
7128,4/1/21,15,0,AS,1,2
7128,4/1/21,15,0,HE,1,2
7128,4/1/21,15,0,DW,3,2
7128,4/1/21,15,0,HE,2,2
7128,4/1/21,15,0,AS,2,2
7128,4/1/21,15,0,RD,2,3
7128,4/1/21,15,0,SB,1,2
7128,4/1/21,15,0,RD,3,2
7128,4/1/21,15,0,HE,3,2
4035,5/28/21,16,0,DW,1,3
4035,5/28/21,16,0,DW,2,3
4035,5/28/21,16,0,RD,1,4
4035,5/28/21,16,0,AS,1,4
4035,5/28/21,16,0,HE,1,3
4035,5/28/21,16,0,DW,3,3
4035,5/28/21,16,0,HE,2,3
4035,5/28/21,16,0,AS,2,4
4035,5/28/21,16,0,RD,2,3
4035,5/28/21,16,0,SB,1,3
4035,5/28/21,16,0,RD,3,2
4035,5/28/21,16,0,HE,3,2
4026,4/9/21,17,0,DW,1,2
4026,4/9/21,17,0,DW,2,2
4026,4/9/21,17,0,RD,1,2
4026,4/9/21,17,0,AS,1,3
4026,4/9/21,17,0,HE,1,2
4026,4/9/21,17,0,DW,3,2
4026,4/9/21,17,0,HE,2,2
4026,4/9/21,17,0,AS,2,3
4026,4/9/21,17,0,RD,2,2
4026,4/9/21,17,0,SB,1,2
4026,4/9/21,17,0,RD,3,2
4026,4/9/21,17,0,HE,3,2
6094,6/4/21,18,0,DW,1,2
6094,6/4/21,18,0,DW,2,2
6094,6/4/21,18,0,RD,1,2
6094,6/4/21,18,0,AS,1,3
6094,6/4/21,18,0,HE,1,2
6094,6/4/21,18,0,DW,3,2
6094,6/4/21,18,0,HE,2,2
6094,6/4/21,18,0,AS,2,3
6094,6/4/21,18,0,RD,2,2
6094,6/4/21,18,0,SB,1,2
6094,6/4/21,18,0,RD,3,2
6094,6/4/21,18,0,HE,3,2
6025,4/1/21,19,0,DW,1,3
6025,4/1/21,19,0,DW,2,3
6025,4/1/21,19,0,RD,1,3
6025,4/1/21,19,0,AS,1,3
6025,4/1/21,19,0,HE,1,2
6025,4/1/21,19,0,DW,3,2
6025,4/1/21,19,0,HE,2,2
6025,4/1/21,19,0,AS,2,2
6025,4/1/21,19,0,RD,2,2
6025,4/1/21,19,0,SB,1,2
6025,4/1/21,19,0,RD,3,2
6025,4/1/21,19,0,HE,3,2
6053,6/11/21,20,0,DW,1,2
6053,6/11/21,20,0,DW,2,2
6053,6/11/21,20,0,RD,1,3
6053,6/11/21,20,0,AS,1,3
6053,6/11/21,20,0,HE,1,2
6053,6/11/21,20,0,DW,3,3
6053,6/11/21,20,0,HE,2,2
6053,6/11/21,20,0,AS,2,2
6053,6/11/21,20,0,RD,2,3
6053,6/11/21,20,0,SB,1,2
6053,6/11/21,20,0,RD,3,3
6053,6/11/21,20,0,HE,3,2
8083,5/21/21,21,0,DW,1,2
8083,5/21/21,21,0,DW,2,2
8083,5/21/21,21,0,RD,1,2
8083,5/21/21,21,0,AS,1,3
8083,5/21/21,21,0,HE,1,2
8083,5/21/21,21,0,DW,3,3
8083,5/21/21,21,0,HE,2,2
8083,5/21/21,21,0,AS,2,3
8083,5/21/21,21,0,RD,2,2
8083,5/21/21,21,0,SB,1,3
8083,5/21/21,21,0,RD,3,2
8083,5/21/21,21,0,HE,3,2
4008,5/28/21,22,0,DW,1,2
4008,5/28/21,22,0,DW,2,3
4008,5/28/21,22,0,RD,1,3
4008,5/28/21,22,0,AS,1,2
4008,5/28/21,22,0,HE,1,2
4008,5/28/21,22,0,DW,3,3
4008,5/28/21,22,0,HE,2,2
4008,5/28/21,22,0,AS,2,2
4008,5/28/21,22,0,RD,2,2
4008,5/28/21,22,0,SB,1,2
4008,5/28/21,22,0,RD,3,2
4008,5/28/21,22,0,HE,3,2
7114,5/28/21,23,0,DW,1,2
7114,5/28/21,23,0,DW,2,2
7114,5/28/21,23,0,RD,1,2
7114,5/28/21,23,0,AS,1,2
7114,5/28/21,23,0,HE,1,2
7114,5/28/21,23,0,DW,3,2
7114,5/28/21,23,0,HE,2,2
7114,5/28/21,23,0,AS,2,2
7114,5/28/21,23,0,RD,2,2
7114,5/28/21,23,0,SB,1,2
7114,5/28/21,23,0,RD,3,2
7114,5/28/21,23,0,HE,3,2
7109,5/7/21,24,0,DW,1,2
7109,5/7/21,24,0,DW,2,2
7109,5/7/21,24,0,RD,1,3
7109,5/7/21,24,0,AS,1,3
7109,5/7/21,24,0,HE,1,2
7109,5/7/21,24,0,DW,3,2
7109,5/7/21,24,0,HE,2,2
7109,5/7/21,24,0,AS,2,2
7109,5/7/21,24,0,RD,2,2
7109,5/7/21,24,0,SB,1,1
7109,5/7/21,24,0,RD,3,2
7109,5/7/21,24,0,HE,3,2
6088,6/4/21,25,0,DW,1,3
6088,6/4/21,25,0,DW,2,4
6088,6/4/21,25,0,RD,1,4
6088,6/4/21,25,0,AS,1,4
6088,6/4/21,25,0,HE,1,3
6088,6/4/21,25,0,DW,3,4
6088,6/4/21,25,0,HE,2,3
6088,6/4/21,25,0,AS,2,4
6088,6/4/21,25,0,RD,2,4
6088,6/4/21,25,0,SB,1,3
6088,6/4/21,25,0,RD,3,4
6088,6/4/21,25,0,HE,3,3
5118,5/7/21,26,0,DW,1,2
5118,5/7/21,26,0,DW,2,2
5118,5/7/21,26,0,RD,1,2
5118,5/7/21,26,0,AS,1,3
5118,5/7/21,26,0,HE,1,2
5118,5/7/21,26,0,DW,3,3
5118,5/7/21,26,0,HE,2,2
5118,5/7/21,26,0,AS,2,3
5118,5/7/21,26,0,RD,2,2
5118,5/7/21,26,0,SB,1,2
5118,5/7/21,26,0,RD,3,2
5118,5/7/21,26,0,HE,3,2
7163,5/21/21,27,0,DW,1,2
7163,5/21/21,27,0,DW,2,2
7163,5/21/21,27,0,RD,1,2
7163,5/21/21,27,0,AS,1,3
7163,5/21/21,27,0,HE,1,2
7163,5/21/21,27,0,DW,3,2
7163,5/21/21,27,0,HE,2,2
7163,5/21/21,27,0,AS,2,2
7163,5/21/21,27,0,RD,2,3
7163,5/21/21,27,0,SB,1,2
7163,5/21/21,27,0,RD,3,2
7163,5/21/21,27,0,HE,3,2
6092,6/11/21,28,0,DW,1,2
6092,6/11/21,28,0,DW,2,2
6092,6/11/21,28,0,RD,1,2
6092,6/11/21,28,0,AS,1,3
6092,6/11/21,28,0,HE,1,2
6092,6/11/21,28,0,DW,3,2
6092,6/11/21,28,0,HE,2,2
6092,6/11/21,28,0,AS,2,2
6092,6/11/21,28,0,RD,2,2
6092,6/11/21,28,0,SB,1,1
6092,6/11/21,28,0,RD,3,2
6092,6/11/21,28,0,HE,3,2
7060,6/4/21,29,0,DW,1,2
7060,6/4/21,29,0,DW,2,3
7060,6/4/21,29,0,RD,1,2
7060,6/4/21,29,0,AS,1,3
7060,6/4/21,29,0,HE,1,2
7060,6/4/21,29,0,DW,3,2
7060,6/4/21,29,0,HE,2,2
7060,6/4/21,29,0,AS,2,3
7060,6/4/21,29,0,RD,2,2
7060,6/4/21,29,0,SB,1,1
7060,6/4/21,29,0,RD,3,2
7060,6/4/21,29,0,HE,3,2
7153,6/4/21,30,0,DW,1,3
7153,6/4/21,30,0,DW,2,2
7153,6/4/21,30,0,RD,1,2
7153,6/4/21,30,0,AS,1,2
7153,6/4/21,30,0,HE,1,2
7153,6/4/21,30,0,DW,3,2
7153,6/4/21,30,0,HE,2,2
7153,6/4/21,30,0,AS,2,2
7153,6/4/21,30,0,RD,2,2
7153,6/4/21,30,0,SB,1,2
7153,6/4/21,30,0,RD,3,2
7153,6/4/21,30,0,HE,3,2
